tissue,frequency,conductivity,relative_permitivity,loss_tangent,penetration_depth
air,1.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,2.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,3.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,4.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,5.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,6.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,7.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,8.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,9.000e+9,0.000e-1,1.000e+0,0.000e-1,0
air,1.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,2.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,3.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,4.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,5.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,6.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,7.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,8.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.000e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.100e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.200e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.300e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.400e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.500e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.600e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.700e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.800e+10,0.000e-1,1.000e+0,0.000e-1,0
air,9.900e+10,0.000e-1,1.000e+0,0.000e-1,0
air,1.000e+11,0.000e-1,1.000e+0,0.000e-1,0
blood,1.000e+9,1.583e+0,6.106e+1,4.660e-1,2.688e-2
blood,2.000e+9,2.186e+0,5.902e+1,3.329e-1,1.891e-2
blood,3.000e+9,3.050e+0,5.735e+1,3.186e-1,1.334e-2
blood,4.000e+9,4.134e+0,5.568e+1,3.336e-1,9.712e-3
blood,5.000e+9,5.395e+0,5.395e+1,3.595e-1,7.340e-3
blood,6.000e+9,6.795e+0,5.218e+1,3.901e-1,5.747e-3
blood,7.000e+9,8.297e+0,5.040e+1,4.228e-1,4.638e-3
blood,8.000e+9,9.871e+0,4.861e+1,4.563e-1,3.841e-3
blood,9.000e+9,1.149e+1,4.684e+1,4.899e-1,3.251e-3
blood,1.000e+10,1.313e+1,4.511e+1,5.233e-1,2.801e-3
blood,1.100e+10,1.478e+1,4.342e+1,5.561e-1,2.451e-3
blood,1.200e+10,1.641e+1,4.179e+1,5.883e-1,2.173e-3
blood,1.300e+10,1.802e+1,4.021e+1,6.198e-1,1.948e-3
blood,1.400e+10,1.961e+1,3.870e+1,6.505e-1,1.764e-3
blood,1.500e+10,2.115e+1,3.726e+1,6.804e-1,1.610e-3
blood,1.600e+10,2.265e+1,3.588e+1,7.094e-1,1.481e-3
blood,1.700e+10,2.411e+1,3.457e+1,7.376e-1,1.371e-3
blood,1.800e+10,2.552e+1,3.332e+1,7.649e-1,1.276e-3
blood,1.900e+10,2.688e+1,3.213e+1,7.914e-1,1.194e-3
blood,2.000e+10,2.819e+1,3.101e+1,8.170e-1,1.123e-3
blood,2.100e+10,2.945e+1,2.995e+1,8.418e-1,1.059e-3
blood,2.200e+10,3.066e+1,2.894e+1,8.658e-1,1.004e-3
blood,2.300e+10,3.183e+1,2.798e+1,8.890e-1,9.539e-4
blood,2.400e+10,3.295e+1,2.708e+1,9.115e-1,9.093e-4
blood,2.500e+10,3.403e+1,2.622e+1,9.331e-1,8.692e-4
blood,2.600e+10,3.506e+1,2.541e+1,9.540e-1,8.329e-4
blood,2.700e+10,3.605e+1,2.464e+1,9.742e-1,8.000e-4
blood,2.800e+10,3.701e+1,2.391e+1,9.937e-1,7.699e-4
blood,2.900e+10,3.792e+1,2.321e+1,1.012e+0,7.424e-4
blood,3.000e+10,3.880e+1,2.256e+1,1.031e+0,7.172e-4
blood,3.100e+10,3.965e+1,2.194e+1,1.048e+0,6.939e-4
blood,3.200e+10,4.046e+1,2.134e+1,1.065e+0,6.724e-4
blood,3.300e+10,4.124e+1,2.078e+1,1.081e+0,6.525e-4
blood,3.400e+10,4.199e+1,2.025e+1,1.097e+0,6.339e-4
blood,3.500e+10,4.272e+1,1.974e+1,1.111e+0,6.167e-4
blood,3.600e+10,4.341e+1,1.925e+1,1.126e+0,6.006e-4
blood,3.700e+10,4.409e+1,1.879e+1,1.140e+0,5.855e-4
blood,3.800e+10,4.473e+1,1.835e+1,1.153e+0,5.714e-4
blood,3.900e+10,4.536e+1,1.793e+1,1.166e+0,5.581e-4
blood,4.000e+10,4.596e+1,1.753e+1,1.178e+0,5.456e-4
blood,4.100e+10,4.655e+1,1.715e+1,1.190e+0,5.338e-4
blood,4.200e+10,4.711e+1,1.679e+1,1.201e+0,5.227e-4
blood,4.300e+10,4.765e+1,1.644e+1,1.212e+0,5.121e-4
blood,4.400e+10,4.818e+1,1.610e+1,1.222e+0,5.022e-4
blood,4.500e+10,4.869e+1,1.578e+1,1.232e+0,4.927e-4
blood,4.600e+10,4.918e+1,1.548e+1,1.242e+0,4.837e-4
blood,4.700e+10,4.965e+1,1.519e+1,1.251e+0,4.752e-4
blood,4.800e+10,5.012e+1,1.490e+1,1.259e+0,4.670e-4
blood,4.900e+10,5.056e+1,1.463e+1,1.268e+0,4.592e-4
blood,5.000e+10,5.100e+1,1.438e+1,1.275e+0,4.518e-4
blood,5.100e+10,5.142e+1,1.413e+1,1.283e+0,4.447e-4
blood,5.200e+10,5.183e+1,1.389e+1,1.290e+0,4.379e-4
blood,5.300e+10,5.223e+1,1.366e+1,1.297e+0,4.314e-4
blood,5.400e+10,5.261e+1,1.344e+1,1.303e+0,4.252e-4
blood,5.500e+10,5.299e+1,1.323e+1,1.309e+0,4.192e-4
blood,5.600e+10,5.335e+1,1.302e+1,1.315e+0,4.135e-4
blood,5.700e+10,5.371e+1,1.282e+1,1.321e+0,4.080e-4
blood,5.800e+10,5.405e+1,1.263e+1,1.326e+0,4.027e-4
blood,5.900e+10,5.439e+1,1.245e+1,1.331e+0,3.976e-4
blood,6.000e+10,5.472e+1,1.228e+1,1.335e+0,3.926e-4
blood,6.100e+10,5.504e+1,1.210e+1,1.340e+0,3.879e-4
blood,6.200e+10,5.535e+1,1.194e+1,1.344e+0,3.833e-4
blood,6.300e+10,5.565e+1,1.178e+1,1.348e+0,3.789e-4
blood,6.400e+10,5.595e+1,1.163e+1,1.351e+0,3.746e-4
blood,6.500e+10,5.624e+1,1.148e+1,1.355e+0,3.705e-4
blood,6.600e+10,5.652e+1,1.133e+1,1.358e+0,3.665e-4
blood,6.700e+10,5.680e+1,1.120e+1,1.361e+0,3.626e-4
blood,6.800e+10,5.706e+1,1.106e+1,1.364e+0,3.589e-4
blood,6.900e+10,5.733e+1,1.093e+1,1.366e+0,3.553e-4
blood,7.000e+10,5.759e+1,1.080e+1,1.369e+0,3.518e-4
blood,7.100e+10,5.784e+1,1.068e+1,1.371e+0,3.483e-4
blood,7.200e+10,5.808e+1,1.056e+1,1.373e+0,3.450e-4
blood,7.300e+10,5.833e+1,1.045e+1,1.375e+0,3.418e-4
blood,7.400e+10,5.856e+1,1.034e+1,1.376e+0,3.387e-4
blood,7.500e+10,5.879e+1,1.023e+1,1.378e+0,3.357e-4
blood,7.600e+10,5.902e+1,1.012e+1,1.379e+0,3.327e-4
blood,7.700e+10,5.924e+1,1.002e+1,1.380e+0,3.299e-4
blood,7.800e+10,5.946e+1,9.923e+0,1.381e+0,3.271e-4
blood,7.900e+10,5.967e+1,9.826e+0,1.382e+0,3.244e-4
blood,8.000e+10,5.988e+1,9.733e+0,1.382e+0,3.217e-4
blood,8.100e+10,6.009e+1,9.642e+0,1.383e+0,3.192e-4
blood,8.200e+10,6.029e+1,9.553e+0,1.383e+0,3.166e-4
blood,8.300e+10,6.048e+1,9.467e+0,1.384e+0,3.142e-4
blood,8.400e+10,6.068e+1,9.384e+0,1.384e+0,3.118e-4
blood,8.500e+10,6.087e+1,9.302e+0,1.384e+0,3.095e-4
blood,8.600e+10,6.105e+1,9.223e+0,1.384e+0,3.072e-4
