,antenna,orientation,distance,origin,APD_CST
0,Dipole,Vertical,5,"[-0.009196137125833444, -0.008943818176342983]",2.97
1,Dipole,Vertical,10,"[-0.01052339327664423, -0.010288400579897647]",2.13
2,Dipole,Vertical,15,"[-0.01052339327664423, -0.010288400579897647]",1.45
3,Array,Vertical,5,"[-0.010974217437555025, -0.0110377357372408]",5.62
4,Array,Vertical,10,"[-0.008974217437555027, -0.009037735737240808]",5.92
5,Array,Vertical,15,"[-0.008974686708799248, -0.009037296281864424]",5.23
6,Dipole,Horizontal,5,"[-0.008307550770888367, -0.00837106907057417]",3.07
7,Dipole,Horizontal,10,"[-0.008316858065744332, -0.00835886736452144]",1.92
8,Dipole,Horizontal,15,"[-0.008316834501406759, -0.008358509577943802]",1.29
9,Array,Horizontal,5,"[-0.010307550770888359, -0.01037106907057414]",5.77
10,Array,Horizontal,10,"[-0.00831685806574433, -0.00835886736452144]",6.07
11,Array,Horizontal,15,"[-0.008316858065744323, -0.00835886736452144]",5.96
