index,col_points,diameter [cm],radius [m],frequency [GHz],distance [mm],sPDn_pln [W/m2],sPDn_sph [W/m2]
0,3.0,13.8987,0.0694935,2.4,2.5,5.692901980400289,6.209768516987054
1,3.0,13.8987,0.0694935,2.4,5.0,4.346883971284909,4.544336504482245
2,3.0,13.8987,0.0694935,2.4,10.0,2.5188832913401797,2.527438666169157
3,3.0,13.8987,0.0694935,2.4,50.0,0.2146050863214159,0.21262278171530585
4,3.0,13.8987,0.0694935,2.4,150.0,0.02565940592648469,0.0254767585563788
5,3.0,13.8987,0.0694935,3.0,2.5,5.735936783075744,6.26864802731095
6,3.0,13.8987,0.0694935,3.0,5.0,4.415541563246041,4.623775462021168
7,3.0,13.8987,0.0694935,3.0,10.0,2.5914454978556156,2.604453997821693
8,3.0,13.8987,0.0694935,3.0,50.0,0.21806740411289252,0.21620822259379424
9,3.0,13.8987,0.0694935,3.0,150.0,0.025722218911750288,0.02554033782106159
10,3.0,13.8987,0.0694935,3.5,2.5,5.795417967533194,6.347014563027745
11,3.0,13.8987,0.0694935,3.5,5.0,4.499807177530968,4.718239027171569
12,3.0,13.8987,0.0694935,3.5,10.0,2.660114848679723,2.676452473342267
13,3.0,13.8987,0.0694935,3.5,50.0,0.2198996504019023,0.21810927100688474
14,3.0,13.8987,0.0694935,3.5,150.0,0.02575231042095709,0.025570800903325166
15,3.0,13.8987,0.0694935,5.0,2.5,6.268289467782328,6.8649634969728
16,3.0,13.8987,0.0694935,5.0,5.0,4.895989004818833,5.127715340651665
17,3.0,13.8987,0.0694935,5.0,10.0,2.8544968458757185,2.8780985031261848
18,3.0,13.8987,0.0694935,5.0,50.0,0.2227419883085661,0.22106336616481762
19,3.0,13.8987,0.0694935,5.0,150.0,0.025795336150182775,0.02561436211816732
20,3.0,13.8987,0.0694935,6.0,2.5,6.846309000250922,7.38470314705092
21,3.0,13.8987,0.0694935,6.0,5.0,5.168362926012456,5.398631416153858
22,3.0,13.8987,0.0694935,6.0,10.0,2.9482413313459217,2.9761921525949577
23,3.0,13.8987,0.0694935,6.0,50.0,0.22363906376972298,0.22199698411180133
24,3.0,13.8987,0.0694935,6.0,150.0,0.025808084949470577,0.025627270291470373
25,3.0,13.8987,0.0694935,10.0,2.5,7.609350046624173,8.272728441593562
26,3.0,13.8987,0.0694935,10.0,5.0,5.631271104870448,5.912221326404812
27,3.0,13.8987,0.0694935,10.0,10.0,3.119320593403164,3.1615395037309564
28,3.0,13.8987,0.0694935,10.0,50.0,0.22499934066436292,0.22341385841588277
29,3.0,13.8987,0.0694935,10.0,150.0,0.025826723872263622,0.02564614408073348
30,3.0,15.2,0.076,2.4,2.5,5.692901980400289,6.169771995263042
31,3.0,15.2,0.076,2.4,5.0,4.346883971284909,4.531037627972502
32,3.0,15.2,0.076,2.4,10.0,2.5188832913401797,2.5284158530880934
33,3.0,15.2,0.076,2.4,50.0,0.2146050863214159,0.21290926529868393
34,3.0,15.2,0.076,2.4,150.0,0.02565940592648469,0.02550641688732554
35,3.0,15.2,0.076,3.0,2.5,5.735936783075744,6.227354788803435
36,3.0,15.2,0.076,3.0,5.0,4.415541563246041,4.609645035548424
37,3.0,15.2,0.076,3.0,10.0,2.5914454978556156,2.6051205975691083
38,3.0,15.2,0.076,3.0,50.0,0.21806740411289252,0.21648672440074865
39,3.0,15.2,0.076,3.0,150.0,0.025722218911750288,0.025569966975194033
40,3.0,15.2,0.076,3.5,2.5,5.795417967533194,6.304250098485251
41,3.0,15.2,0.076,3.5,5.0,4.499807177530968,4.703373303278697
42,3.0,15.2,0.076,3.5,10.0,2.660114848679723,2.6769042564128345
43,3.0,15.2,0.076,3.5,50.0,0.2198996504019023,0.21838328080735234
44,3.0,15.2,0.076,3.5,150.0,0.02575231042095709,0.025600416317625448
45,3.0,15.2,0.076,5.0,2.5,6.268289467782328,6.819506183668798
46,3.0,15.2,0.076,5.0,5.0,4.895989004818833,5.112181497506191
47,3.0,15.2,0.076,5.0,10.0,2.8544968458757185,2.8781227839670187
48,3.0,15.2,0.076,5.0,50.0,0.2227419883085661,0.22133003143298133
49,3.0,15.2,0.076,5.0,150.0,0.025795336150182775,0.02564395634985634
50,3.0,15.2,0.076,6.0,2.5,6.846309000250922,7.343469914122371
51,3.0,15.2,0.076,6.0,5.0,5.168362926012456,5.383358385434394
52,3.0,15.2,0.076,6.0,10.0,2.9482413313459217,2.975941520615408
53,3.0,15.2,0.076,6.0,50.0,0.22363906376972298,0.2222612357184135
54,3.0,15.2,0.076,6.0,150.0,0.025808084949470577,0.025656858697023534
55,3.0,15.2,0.076,10.0,2.5,7.609350046624173,8.222600735884367
56,3.0,15.2,0.076,10.0,5.0,5.631271104870448,5.893228607078332
57,3.0,15.2,0.076,10.0,10.0,3.119320593403164,3.1602738969954336
58,3.0,15.2,0.076,10.0,50.0,0.22499934066436292,0.22367436982605252
59,3.0,15.2,0.076,10.0,150.0,0.025826723872263622,0.025675723043064962
60,3.0,16.5013,0.0825065,2.4,2.5,5.692901980400289,6.1354481173346835
61,3.0,16.5013,0.0825065,2.4,5.0,4.346883971284909,4.51931626690958
62,3.0,16.5013,0.0825065,2.4,10.0,2.5188832913401797,2.528996491272625
63,3.0,16.5013,0.0825065,2.4,50.0,0.2146050863214159,0.21313362054315907
64,3.0,16.5013,0.0825065,2.4,150.0,0.02565940592648469,0.025529350401416025
65,3.0,16.5013,0.0825065,3.0,2.5,5.735936783075744,6.191929092863838
66,3.0,16.5013,0.0825065,3.0,5.0,4.415541563246041,4.597209890480961
67,3.0,16.5013,0.0825065,3.0,10.0,2.5914454978556156,2.6054294455017804
68,3.0,16.5013,0.0825065,3.0,50.0,0.21806740411289252,0.21670399284551659
69,3.0,16.5013,0.0825065,3.0,150.0,0.025722218911750288,0.025592870539300375
70,3.0,16.5013,0.0825065,3.5,2.5,5.795417967533194,6.267563232727279
71,3.0,16.5013,0.0825065,3.5,5.0,4.499807177530968,4.69029873441022
72,3.0,16.5013,0.0825065,3.5,10.0,2.660114848679723,2.6770223589358304
73,3.0,16.5013,0.0825065,3.5,50.0,0.2198996504019023,0.21859656546375952
74,3.0,16.5013,0.0825065,3.5,150.0,0.02575231042095709,0.0256233052879166
75,3.0,16.5013,0.0825065,5.0,2.5,6.268289467782328,6.780396813803017
76,3.0,16.5013,0.0825065,5.0,5.0,4.895989004818833,5.09847971467313
77,3.0,16.5013,0.0825065,5.0,10.0,2.8544968458757185,2.8778537331508396
78,3.0,16.5013,0.0825065,5.0,50.0,0.2227419883085661,0.22153681291627508
79,3.0,16.5013,0.0825065,5.0,150.0,0.025795336150182775,0.025666824448457054
80,3.0,16.5013,0.0825065,6.0,2.5,6.846309000250922,7.308003172717321
81,3.0,16.5013,0.0825065,6.0,5.0,5.168362926012456,5.369856246248031
82,3.0,16.5013,0.0825065,6.0,10.0,2.9482413313459217,2.9754274046830034
83,3.0,16.5013,0.0825065,6.0,50.0,0.22363906376972298,0.22246588335731757
84,3.0,16.5013,0.0825065,6.0,150.0,0.025808084949470577,0.02567972042000419
85,3.0,16.5013,0.0825065,10.0,2.5,7.609350046624173,8.179403164632184
86,3.0,16.5013,0.0825065,10.0,5.0,5.631271104870448,5.876506235008536
87,3.0,16.5013,0.0825065,10.0,10.0,3.119320593403164,3.158875650756306
88,3.0,16.5013,0.0825065,10.0,50.0,0.22499934066436292,0.22387570066069884
89,3.0,16.5013,0.0825065,10.0,150.0,0.025826723872263622,0.025698574706421323
90,5.0,13.6776,0.068388,2.4,2.5,5.692901980400289,6.217227906091524
91,5.0,13.6776,0.068388,2.4,5.0,4.346883971284909,4.546772554096833
92,5.0,13.6776,0.068388,2.4,10.0,2.5188832913401797,2.5272191676503906
93,5.0,13.6776,0.068388,2.4,50.0,0.2146050863214159,0.21256623195184557
94,5.0,13.6776,0.068388,2.4,150.0,0.02565940592648469,0.02547086056735607
95,5.0,13.6776,0.068388,3.0,2.5,5.735936783075744,6.276350925114232
96,5.0,13.6776,0.068388,3.0,5.0,4.415541563246041,4.6263663953407885
97,5.0,13.6776,0.068388,3.0,10.0,2.5914454978556156,2.6042917144297753
98,5.0,13.6776,0.068388,3.0,50.0,0.21806740411289252,0.21615312472237505
99,5.0,13.6776,0.068388,3.0,150.0,0.025722218911750288,0.025534444723942055
100,5.0,13.6776,0.068388,3.5,2.5,5.795417967533194,6.354991885086678
101,5.0,13.6776,0.068388,3.5,5.0,4.499807177530968,4.720966138740309
102,5.0,13.6776,0.068388,3.5,10.0,2.660114848679723,2.676329347847315
103,5.0,13.6776,0.068388,3.5,50.0,0.2198996504019023,0.21805499318084184
104,5.0,13.6776,0.068388,3.5,150.0,0.02575231042095709,0.025564910052342026
105,5.0,13.6776,0.068388,5.0,2.5,6.268289467782328,6.873427466326914
106,5.0,13.6776,0.068388,5.0,5.0,4.895989004818833,5.130559211128824
107,5.0,13.6776,0.068388,5.0,10.0,2.8544968458757185,2.878052226477786
108,5.0,13.6776,0.068388,5.0,50.0,0.2227419883085661,0.22101042844037172
109,5.0,13.6776,0.068388,5.0,150.0,0.025795336150182775,0.025608474565719384
110,5.0,13.6776,0.068388,6.0,2.5,6.846309000250922,7.392381299406319
111,5.0,13.6776,0.068388,6.0,5.0,5.168362926012456,5.401423196178818
112,5.0,13.6776,0.068388,6.0,10.0,2.9482413313459217,2.976195749063165
113,5.0,13.6776,0.068388,6.0,50.0,0.22363906376972298,0.22194449089937243
114,5.0,13.6776,0.068388,6.0,150.0,0.025808084949470577,0.025621384030420784
115,5.0,13.6776,0.068388,10.0,2.5,7.609350046624173,8.282051759836456
116,5.0,13.6776,0.068388,10.0,5.0,5.631271104870448,5.91570290798802
117,5.0,13.6776,0.068388,10.0,10.0,3.119320593403164,3.161730609396318
118,5.0,13.6776,0.068388,10.0,50.0,0.22499934066436292,0.22336204837318382
119,5.0,13.6776,0.068388,10.0,150.0,0.025826723872263622,0.025640259025739114
120,5.0,14.2954,0.071477,2.4,2.5,5.692901980400289,6.196894418221459
121,5.0,14.2954,0.071477,2.4,5.0,4.346883971284909,4.540099275813597
122,5.0,14.2954,0.071477,2.4,10.0,2.5188832913401797,2.5277895461918427
123,5.0,14.2954,0.071477,2.4,50.0,0.2146050863214159,0.2127180317796819
124,5.0,14.2954,0.071477,2.4,150.0,0.02565940592648469,0.02548666094634535
125,5.0,14.2954,0.071477,3.0,2.5,5.735936783075744,6.255354927634912
126,5.0,14.2954,0.071477,3.0,5.0,4.415541563246041,4.619270539272067
127,5.0,14.2954,0.071477,3.0,10.0,2.5914454978556156,2.604705649385035
128,5.0,14.2954,0.071477,3.0,50.0,0.21806740411289252,0.21630093630123187
129,5.0,14.2954,0.071477,3.0,150.0,0.025722218911750288,0.025550231883948726
130,5.0,14.2954,0.071477,3.5,2.5,5.795417967533194,6.333247715352581
131,5.0,14.2954,0.071477,3.5,5.0,4.499807177530968,4.713498646636274
132,5.0,14.2954,0.071477,3.5,10.0,2.660114848679723,2.676635947260806
133,5.0,14.2954,0.071477,3.5,50.0,0.2198996504019023,0.21820055924803355
134,5.0,14.2954,0.071477,3.5,150.0,0.02575231042095709,0.025580690968714945
135,5.0,14.2954,0.071477,5.0,2.5,6.268289467782328,6.850345157403851
136,5.0,14.2954,0.071477,5.0,5.0,4.895989004818833,5.122767342411679
137,5.0,14.2954,0.071477,5.0,10.0,2.8544968458757185,2.878147214202828
138,5.0,14.2954,0.071477,5.0,50.0,0.2227419883085661,0.22115231911342914
139,5.0,14.2954,0.071477,5.0,150.0,0.025795336150182775,0.02562424588032449
140,5.0,14.2954,0.071477,6.0,2.5,6.846309000250922,7.371442961183816
141,5.0,14.2954,0.071477,6.0,5.0,5.168362926012456,5.3937708224128285
142,5.0,14.2954,0.071477,6.0,10.0,2.9482413313459217,2.9761535821216927
143,5.0,14.2954,0.071477,6.0,50.0,0.22363906376972298,0.22208516840742348
144,5.0,14.2954,0.071477,6.0,150.0,0.025808084949470577,0.025637152750620073
145,5.0,14.2954,0.071477,10.0,2.5,7.609350046624173,8.256618066890073
146,5.0,14.2954,0.071477,10.0,5.0,5.631271104870448,5.906167326758429
147,5.0,14.2954,0.071477,10.0,10.0,3.119320593403164,3.1611760253410237
148,5.0,14.2954,0.071477,10.0,50.0,0.22499934066436292,0.22350085153261637
149,5.0,14.2954,0.071477,10.0,150.0,0.025826723872263622,0.025656022660191197
150,5.0,15.2,0.076,2.4,2.5,5.692901980400289,6.169771995263042
151,5.0,15.2,0.076,2.4,5.0,4.346883971284909,4.531037627972502
152,5.0,15.2,0.076,2.4,10.0,2.5188832913401797,2.5284158530880934
153,5.0,15.2,0.076,2.4,50.0,0.2146050863214159,0.21290926529868393
154,5.0,15.2,0.076,2.4,150.0,0.02565940592648469,0.02550641688732554
155,5.0,15.2,0.076,3.0,2.5,5.735936783075744,6.227354788803435
156,5.0,15.2,0.076,3.0,5.0,4.415541563246041,4.609645035548424
157,5.0,15.2,0.076,3.0,10.0,2.5914454978556156,2.6051205975691083
158,5.0,15.2,0.076,3.0,50.0,0.21806740411289252,0.21648672440074865
159,5.0,15.2,0.076,3.0,150.0,0.025722218911750288,0.025569966975194033
160,5.0,15.2,0.076,3.5,2.5,5.795417967533194,6.304250098485251
161,5.0,15.2,0.076,3.5,5.0,4.499807177530968,4.703373303278697
162,5.0,15.2,0.076,3.5,10.0,2.660114848679723,2.6769042564128345
163,5.0,15.2,0.076,3.5,50.0,0.2198996504019023,0.21838328080735234
164,5.0,15.2,0.076,3.5,150.0,0.02575231042095709,0.025600416317625448
165,5.0,15.2,0.076,5.0,2.5,6.268289467782328,6.819506183668798
166,5.0,15.2,0.076,5.0,5.0,4.895989004818833,5.112181497506191
167,5.0,15.2,0.076,5.0,10.0,2.8544968458757185,2.8781227839670187
168,5.0,15.2,0.076,5.0,50.0,0.2227419883085661,0.22133003143298133
169,5.0,15.2,0.076,5.0,150.0,0.025795336150182775,0.02564395634985634
170,5.0,15.2,0.076,6.0,2.5,6.846309000250922,7.343469914122371
171,5.0,15.2,0.076,6.0,5.0,5.168362926012456,5.383358385434394
172,5.0,15.2,0.076,6.0,10.0,2.9482413313459217,2.975941520615408
173,5.0,15.2,0.076,6.0,50.0,0.22363906376972298,0.2222612357184135
174,5.0,15.2,0.076,6.0,150.0,0.025808084949470577,0.025656858697023534
175,5.0,15.2,0.076,10.0,2.5,7.609350046624173,8.222600735884367
176,5.0,15.2,0.076,10.0,5.0,5.631271104870448,5.893228607078332
177,5.0,15.2,0.076,10.0,10.0,3.119320593403164,3.1602738969954336
178,5.0,15.2,0.076,10.0,50.0,0.22499934066436292,0.22367436982605252
179,5.0,15.2,0.076,10.0,150.0,0.025826723872263622,0.025675723043064962
180,5.0,16.1046,0.08052300000000001,2.4,2.5,5.692901980400289,6.145383149452016
181,5.0,16.1046,0.08052300000000001,2.4,5.0,4.346883971284909,4.522737551037444
182,5.0,16.1046,0.08052300000000001,2.4,10.0,2.5188832913401797,2.5288522354787424
183,5.0,16.1046,0.08052300000000001,2.4,50.0,0.2146050863214159,0.21307064875104711
184,5.0,16.1046,0.08052300000000001,2.4,150.0,0.02565940592648469,0.025522943714694758
185,5.0,16.1046,0.08052300000000001,3.0,2.5,5.735936783075744,6.202182393437352
186,5.0,16.1046,0.08052300000000001,3.0,5.0,4.415541563246041,4.600837803068481
187,5.0,16.1046,0.08052300000000001,3.0,10.0,2.5914454978556156,2.6053643915185485
188,5.0,16.1046,0.08052300000000001,3.0,50.0,0.21806740411289252,0.21664309805912915
189,5.0,16.1046,0.08052300000000001,3.0,150.0,0.025722218911750288,0.02558647307769662
190,5.0,16.1046,0.08052300000000001,3.5,2.5,5.795417967533194,6.278181232369772
191,5.0,16.1046,0.08052300000000001,3.5,5.0,4.499807177530968,4.69411251815314
192,5.0,16.1046,0.08052300000000001,3.5,10.0,2.660114848679723,2.677013045391095
193,5.0,16.1046,0.08052300000000001,3.5,50.0,0.2198996504019023,0.2185368347741468
194,5.0,16.1046,0.08052300000000001,3.5,150.0,0.02575231042095709,0.025616912261245156
195,5.0,16.1046,0.08052300000000001,5.0,2.5,6.268289467782328,6.791726485136536
196,5.0,16.1046,0.08052300000000001,5.0,5.0,4.895989004818833,5.102480061010622
197,5.0,16.1046,0.08052300000000001,5.0,10.0,2.8544968458757185,2.877958384229549
198,5.0,16.1046,0.08052300000000001,5.0,50.0,0.2227419883085661,0.2214789798235868
199,5.0,16.1046,0.08052300000000001,5.0,150.0,0.025795336150182775,0.02566043761088062
200,5.0,16.1046,0.08052300000000001,6.0,2.5,6.846309000250922,7.318276559108017
201,5.0,16.1046,0.08052300000000001,6.0,5.0,5.168362926012456,5.3738009299613525
202,5.0,16.1046,0.08052300000000001,6.0,10.0,2.9482413313459217,2.9756039062286095
203,5.0,16.1046,0.08052300000000001,6.0,50.0,0.22363906376972298,0.22240867829413105
204,5.0,16.1046,0.08052300000000001,6.0,150.0,0.025808084949470577,0.025673335131451577
205,5.0,16.1046,0.08052300000000001,10.0,2.5,7.609350046624173,8.191923775330638
206,5.0,16.1046,0.08052300000000001,10.0,5.0,5.631271104870448,5.881385834247623
207,5.0,16.1046,0.08052300000000001,10.0,10.0,3.119320593403164,3.159309273347768
208,5.0,16.1046,0.08052300000000001,10.0,50.0,0.22499934066436292,0.2238194635074639
209,5.0,16.1046,0.08052300000000001,10.0,150.0,0.025826723872263622,0.02569219275747605
210,5.0,16.7224,0.083612,2.4,2.5,5.692901980400289,6.13009575955099
211,5.0,16.7224,0.083612,2.4,5.0,4.346883971284909,4.517463641300365
212,5.0,16.7224,0.083612,2.4,10.0,2.5188832913401797,2.5290663937870663
213,5.0,16.7224,0.083612,2.4,50.0,0.2146050863214159,0.2131668912462221
214,5.0,16.7224,0.083612,2.4,150.0,0.02565940592648469,0.025532725588835733
215,5.0,16.7224,0.083612,3.0,2.5,5.735936783075744,6.1864059149493515
216,5.0,16.7224,0.083612,3.0,5.0,4.415541563246041,4.595245849887808
217,5.0,16.7224,0.083612,3.0,10.0,2.5914454978556156,2.605456523568846
218,5.0,16.7224,0.083612,3.0,50.0,0.21806740411289252,0.21673614068582522
219,5.0,16.7224,0.083612,3.0,150.0,0.025722218911750288,0.025596241108092447
220,5.0,16.7224,0.083612,3.5,2.5,5.795417967533194,6.261843183855422
221,5.0,16.7224,0.083612,3.5,5.0,4.499807177530968,4.688234395441532
222,5.0,16.7224,0.083612,3.5,10.0,2.660114848679723,2.6770191375383035
223,5.0,16.7224,0.083612,3.5,50.0,0.2198996504019023,0.21862807930703895
224,5.0,16.7224,0.083612,3.5,150.0,0.02575231042095709,0.025626672980369317
225,5.0,16.7224,0.083612,5.0,2.5,6.268289467782328,6.774289932063591
226,5.0,16.7224,0.083612,5.0,5.0,4.895989004818833,5.096313138935157
227,5.0,16.7224,0.083612,5.0,10.0,2.8544968458757185,2.8777884629106034
228,5.0,16.7224,0.083612,5.0,50.0,0.2227419883085661,0.2215672969416275
229,5.0,16.7224,0.083612,5.0,150.0,0.025795336150182775,0.025670188428395205
230,5.0,16.7224,0.083612,6.0,2.5,6.846309000250922,7.302466128214279
231,5.0,16.7224,0.083612,6.0,5.0,5.168362926012456,5.3677190351369966
232,5.0,16.7224,0.083612,6.0,10.0,2.9482413313459217,2.9753232197111394
233,5.0,16.7224,0.083612,6.0,50.0,0.22363906376972298,0.2224960318495061
234,5.0,16.7224,0.083612,6.0,150.0,0.025808084949470577,0.025683083148691985
235,5.0,16.7224,0.083612,10.0,2.5,7.609350046624173,8.172652531113116
236,5.0,16.7224,0.083612,10.0,5.0,5.631271104870448,5.873864492685556
237,5.0,16.7224,0.083612,10.0,10.0,3.119320593403164,3.158632570759471
238,5.0,16.7224,0.083612,10.0,50.0,0.22499934066436292,0.2239053237774875
239,5.0,16.7224,0.083612,10.0,150.0,0.025826723872263622,0.025701936570025383
240,7.0,13.6055,0.06802749999999999,2.4,2.5,5.692901980400289,6.219706541817991
241,7.0,13.6055,0.06802749999999999,2.4,5.0,4.346883971284909,4.547578828676854
242,7.0,13.6055,0.06802749999999999,2.4,10.0,2.5188832913401797,2.5271436049175966
243,7.0,13.6055,0.06802749999999999,2.4,50.0,0.2146050863214159,0.2125472217403658
244,7.0,13.6055,0.06802749999999999,2.4,150.0,0.02565940592648469,0.025468875880141864
245,7.0,13.6055,0.06802749999999999,3.0,2.5,5.735936783075744,6.2789103615037085
246,7.0,13.6055,0.06802749999999999,3.0,5.0,4.415541563246041,4.627224054654976
247,7.0,13.6055,0.06802749999999999,3.0,10.0,2.5914454978556156,2.6042350914306347
248,7.0,13.6055,0.06802749999999999,3.0,50.0,0.21806740411289252,0.2161345939834844
249,7.0,13.6055,0.06802749999999999,3.0,150.0,0.025722218911750288,0.025532461575009224
250,7.0,13.6055,0.06802749999999999,3.5,2.5,5.795417967533194,6.3576426133364095
251,7.0,13.6055,0.06802749999999999,3.5,5.0,4.499807177530968,4.721868931300901
252,7.0,13.6055,0.06802749999999999,3.5,10.0,2.660114848679723,2.676285634705153
253,7.0,13.6055,0.06802749999999999,3.5,50.0,0.2198996504019023,0.21803673465728626
254,7.0,13.6055,0.06802749999999999,3.5,150.0,0.02575231042095709,0.025562927570452084
255,7.0,13.6055,0.06802749999999999,5.0,2.5,6.268289467782328,6.876238864707011
256,7.0,13.6055,0.06802749999999999,5.0,5.0,4.895989004818833,5.131500302108047
257,7.0,13.6055,0.06802749999999999,5.0,10.0,2.8544968458757185,2.8780338320896166
258,7.0,13.6055,0.06802749999999999,5.0,50.0,0.2227419883085661,0.22099261220817754
259,7.0,13.6055,0.06802749999999999,5.0,150.0,0.025795336150182775,0.025606493362985674
260,7.0,13.6055,0.06802749999999999,6.0,2.5,6.846309000250922,7.3949316438009465
261,7.0,13.6055,0.06802749999999999,6.0,5.0,5.168362926012456,5.402346788186046
