index,radius [cm],frequency [GHz],distance [mm],col_points,sPDn_pln [W/m2],sPDn_sph [W/m2]
0,3.6258,2.4,2.5,3.0,5.692901980400289,6.5847201429626026
1,3.6258,2.4,5.0,3.0,4.346883971284909,4.644879522871784
2,3.6258,2.4,10.0,3.0,2.5188832913401797,2.4977625230721
3,3.6258,2.4,50.0,3.0,0.2146050863214159,0.20817137275079434
4,3.6258,2.4,150.0,3.0,0.02565940592648469,0.024990362009896187
5,3.6258,3.0,2.5,3.0,5.735936783075744,6.656622650159699
6,3.6258,3.0,5.0,3.0,4.415541563246041,4.73208841179899
7,3.6258,3.0,10.0,3.0,2.5914454978556156,2.5772878863538877
8,3.6258,3.0,50.0,3.0,0.21806740411289252,0.21181251663200873
9,3.6258,3.0,150.0,3.0,0.025722218911750288,0.025053817107979017
10,3.6258,3.5,2.5,3.0,5.795417967533194,6.748883877968255
11,3.6258,3.5,5.0,3.0,4.499807177530968,4.83284995035733
12,3.6258,3.5,10.0,3.0,2.660114848679723,2.6508040292037816
13,3.6258,3.5,50.0,3.0,0.2198996504019023,0.21374554365839285
14,3.6258,3.5,150.0,3.0,0.02575231042095709,0.025084224390975348
15,3.6258,5.0,2.5,3.0,6.268289467782328,7.284357540765722
16,3.6258,5.0,5.0,3.0,4.895989004818833,5.244547774640713
17,3.6258,5.0,10.0,3.0,2.8544968458757185,2.854925908643616
18,3.6258,5.0,50.0,3.0,0.2227419883085661,0.21675266131386312
19,3.6258,5.0,150.0,3.0,0.025795336150182775,0.025127708562166215
20,3.6258,6.0,2.5,3.0,6.846309000250922,7.763924897090316
21,3.6258,6.0,5.0,3.0,5.168362926012456,5.511072002185715
22,3.6258,6.0,10.0,3.0,2.9482413313459217,2.9549100936537243
23,3.6258,6.0,50.0,3.0,0.22363906376972298,0.21770387829448196
24,3.6258,6.0,150.0,3.0,0.025808084949470577,0.025140595229517747
25,3.6258,10.0,2.5,3.0,7.609350046624173,8.729493009851486
26,3.6258,10.0,5.0,3.0,5.631271104870448,6.057634319583436
27,3.6258,10.0,10.0,3.0,3.119320593403164,3.148836684788229
28,3.6258,10.0,50.0,3.0,0.22499934066436292,0.21914823242915918
29,3.6258,10.0,150.0,3.0,0.025826723872263622,0.025159436994284117
30,9.9,2.4,2.5,3.0,5.692901980400289,6.067004227495702
31,9.9,2.4,5.0,3.0,4.346883971284909,4.495141222050509
32,9.9,2.4,10.0,3.0,2.5188832913401797,2.529486684917928
33,9.9,2.4,50.0,3.0,0.2146050863214159,0.21352589640531092
34,9.9,2.4,150.0,3.0,0.02565940592648469,0.025568631056530497
35,9.9,3.0,2.5,3.0,5.735936783075744,6.121317349785917
36,9.9,3.0,5.0,3.0,4.415541563246041,4.571610209198013
37,9.9,3.0,10.0,3.0,2.5914454978556156,2.6053640882621005
38,9.9,3.0,50.0,3.0,0.21806740411289252,0.21708150729168496
39,9.9,3.0,150.0,3.0,0.025722218911750288,0.02563207952322743
40,9.9,3.5,2.5,3.0,5.795417967533194,6.194440056587032
41,9.9,3.5,5.0,3.0,4.499807177530968,4.6634032771245515
42,9.9,3.5,10.0,3.0,2.660114848679723,2.6765593980977207
43,9.9,3.5,50.0,3.0,0.2198996504019023,0.21896579996199542
44,9.9,3.5,150.0,3.0,0.02575231042095709,0.02566247918806965
45,9.9,5.0,2.5,3.0,6.268289467782328,6.702142141995407
46,9.9,5.0,5.0,3.0,4.895989004818833,5.070190956135749
47,9.9,5.0,10.0,3.0,2.8544968458757185,2.8765654756221752
48,9.9,5.0,50.0,3.0,0.2227419883085661,0.22189255364909913
49,9.9,5.0,150.0,3.0,0.025795336150182775,0.02570594778142014
50,9.9,6.0,2.5,3.0,6.846309000250922,7.237080556358505
51,9.9,6.0,5.0,3.0,5.168362926012456,5.341904639350589
52,9.9,6.0,10.0,3.0,2.9482413313459217,2.9736262236670963
53,9.9,6.0,50.0,3.0,0.22363906376972298,0.2228171991935062
