index,radius [cm],frequency [GHz],distance [mm],sPDn_pln [W/m2],sPDn_sph [W/m2]
0,1.8,2.4,2.5,5.692901980400289,7.0205921516771514
1,1.8,2.4,5.0,4.346883971284909,4.600358537808424
2,1.8,2.4,10.0,2.5188832913401797,2.319017944853377
3,1.8,2.4,50.0,0.2146050863214159,0.18959876265475445
4,1.8,2.4,150.0,0.02565940592648469,0.022815594175161526
5,1.8,3.0,2.5,5.735936783075744,7.113221197773919
6,1.8,3.0,5.0,4.415541563246041,4.696461222059494
7,1.8,3.0,10.0,2.5914454978556156,2.39877296887027
8,1.8,3.0,50.0,0.21806740411289252,0.19316858791692093
9,1.8,3.0,150.0,0.025722218911750288,0.022875867215485075
10,1.8,3.5,2.5,5.795417967533194,7.222590450064217
11,1.8,3.5,5.0,4.499807177530968,4.801138916338461
12,1.8,3.5,10.0,2.660114848679723,2.4708649219953314
13,1.8,3.5,50.0,0.2198996504019023,0.19506713957203548
14,1.8,3.5,150.0,0.02575231042095709,0.0229047552084133
15,1.8,5.0,2.5,6.268289467782328,7.739867151716794
16,1.8,5.0,5.0,4.895989004818833,5.19079295209438
17,1.8,5.0,10.0,2.8544968458757185,2.668188706691339
18,1.8,5.0,50.0,0.2227419883085661,0.19802515706471194
19,1.8,5.0,150.0,0.025795336150182775,0.022946075413572836
20,1.8,6.0,2.5,6.846309000250922,8.146275651361314
21,1.8,6.0,5.0,5.168362926012456,5.4379871391223435
22,1.8,6.0,10.0,2.9482413313459217,2.7661760975244056
23,1.8,6.0,50.0,0.22363906376972298,0.19896197371924595
24,1.8,6.0,150.0,0.025808084949470577,0.022958322289574933
25,1.8,10.0,2.5,7.609350046624173,9.185765647747717
26,1.8,10.0,5.0,5.631271104870448,6.0147235515633115
27,1.8,10.0,10.0,3.119320593403164,2.9649631476260474
28,1.8,10.0,50.0,0.22499934066436292,0.20038549652839296
29,1.8,10.0,150.0,0.025826723872263622,0.022976230237336765
30,18.0,2.4,2.5,5.692901980400289,5.905110218366472
31,18.0,2.4,5.0,4.346883971284909,4.434098273816607
32,18.0,2.4,10.0,2.5188832913401797,2.527453991651892
33,18.0,2.4,50.0,0.2146050863214159,0.21419473982501774
34,18.0,2.4,150.0,0.02565940592648469,0.025631332475128072
35,18.0,3.0,2.5,5.735936783075744,5.954432596027612
36,18.0,3.0,5.0,4.415541563246041,4.5071921172716625
37,18.0,3.0,10.0,2.5914454978556156,2.601951266824145
38,18.0,3.0,50.0,0.21806740411289252,0.2177124282590534
39,18.0,3.0,150.0,0.025722218911750288,0.025694551644064936
40,18.0,3.5,2.5,5.795417967533194,6.021634031964679
41,18.0,3.5,5.0,4.499807177530968,4.595815029950168
42,18.0,3.5,10.0,2.660114848679723,2.672122729447708
43,18.0,3.5,50.0,0.2198996504019023,0.21957551251868115
44,18.0,3.5,150.0,0.02575231042095709,0.025724839910389447
45,18.0,5.0,2.5,6.268289467782328,6.515651411089515
46,18.0,5.0,5.0,4.895989004818833,4.998604265893286
47,18.0,5.0,10.0,2.8544968458757185,2.8699146983406196
48,18.0,5.0,50.0,0.2227419883085661,0.22246780842212846
49,18.0,5.0,150.0,0.025795336150182775,0.02576814815800394
50,18.0,6.0,2.5,6.846309000250922,7.0684743546997995
51,18.0,6.0,5.0,5.168362926012456,5.270826906336833
52,18.0,6.0,10.0,2.9482413313459217,2.965641970851488
53,18.0,6.0,50.0,0.22363906376972298,0.2233811841664239
54,18.0,6.0,150.0,0.025808084949470577,0.025780981721812923
55,18.0,10.0,2.5,7.609350046624173,7.885566713627787
56,18.0,10.0,5.0,5.631271104870448,5.7552147255780595
57,18.0,10.0,10.0,3.119320593403164,3.1428671987306336
58,18.0,10.0,50.0,0.22499934066436292,0.22476669163701296
59,18.0,10.0,150.0,0.025826723872263622,0.025799743766222547
